model,dataset,split,acc,r_uy,r_ru_evidence,r_ru_user_evidence,n,n_uy_denom,n_ru_denom
meta-llama/Llama-3.1-8B-Instruct,truthfulqa,cal,44.42,43.72,15.61,19.33,484,215,269
meta-llama/Llama-3.1-8B-Instruct,truthfulqa,test,44.17,45.28,17.91,19.4,120,53,67
meta-llama/Llama-3.1-8B-Instruct,popqa,cal,35.1,60.11,67.64,62.25,1000,351,649
meta-llama/Llama-3.1-8B-Instruct,popqa,test,33.6,60.71,60.39,53.77,1000,336,664
meta-llama/Llama-3.1-8B-Instruct,exfever,cal,62.6,91.21,79.95,56.42,1000,626,374
meta-llama/Llama-3.1-8B-Instruct,exfever,test,62.5,91.36,77.07,53.6,1000,625,375
meta-llama/Llama-3.1-8B-Instruct,aqua,cal,61.02,87.1,79.8,77.78,254,155,99
meta-llama/Llama-3.1-8B-Instruct,aqua,test,61.94,85.62,76.6,81.91,247,153,94
meta-llama/Llama-3.2-3B-Instruct,truthfulqa,cal,39.67,51.56,17.12,18.15,484,192,292
meta-llama/Llama-3.2-3B-Instruct,truthfulqa,test,36.67,59.09,14.47,19.74,120,44,76
meta-llama/Llama-3.2-3B-Instruct,popqa,cal,24.2,54.55,62.14,61.61,1000,242,758
meta-llama/Llama-3.2-3B-Instruct,popqa,test,24.0,46.25,58.55,56.97,1000,240,760
meta-llama/Llama-3.2-3B-Instruct,exfever,cal,59.7,96.82,86.85,57.32,1000,597,403
meta-llama/Llama-3.2-3B-Instruct,exfever,test,60.7,96.87,86.77,58.52,1000,607,393
meta-llama/Llama-3.2-3B-Instruct,aqua,cal,54.72,91.37,90.43,85.22,254,139,115
meta-llama/Llama-3.2-3B-Instruct,aqua,test,55.06,83.82,95.5,86.49,247,136,111
google/gemma-3-4b-it,truthfulqa,cal,39.46,36.13,15.36,15.7,484,191,293
google/gemma-3-4b-it,truthfulqa,test,33.33,50.0,21.25,13.75,120,40,80
google/gemma-3-4b-it,popqa,cal,21.8,47.25,61.64,45.65,1000,218,782
google/gemma-3-4b-it,popqa,test,22.1,48.87,59.56,43.65,1000,221,779
google/gemma-3-4b-it,exfever,cal,61.9,96.45,86.35,65.62,1000,619,381
google/gemma-3-4b-it,exfever,test,61.0,95.9,83.85,65.13,1000,610,390
google/gemma-3-4b-it,aqua,cal,68.9,20.0,75.95,51.9,254,175,79
google/gemma-3-4b-it,aqua,test,73.28,24.86,63.64,36.36,247,181,66
Qwen/Qwen3-8B,truthfulqa,cal,40.29,22.56,7.27,9.0,484,195,289
Qwen/Qwen3-8B,truthfulqa,test,35.0,16.67,7.69,3.85,120,42,78
Qwen/Qwen3-8B,popqa,cal,24.7,6.07,59.23,46.08,1000,247,753
Qwen/Qwen3-8B,popqa,test,24.5,7.35,54.83,43.44,1000,245,755
Qwen/Qwen3-8B,exfever,cal,66.0,35.91,81.18,45.59,1000,660,340
Qwen/Qwen3-8B,exfever,test,62.7,34.77,78.28,45.58,1000,627,373
Qwen/Qwen3-8B,aqua,cal,80.71,3.9,67.35,59.18,254,205,49
Qwen/Qwen3-8B,aqua,test,84.62,3.83,60.53,52.63,247,209,38
